t_monotonic,ax,ay,az,gx,gy,gz
233220.544548,0.164,1.019,0.123,-1.71,16.48,-13.18
233220.554868,0.161,1.027,0.13,-4.09,16.11,-11.66
233220.568357,0.152,1.04,0.129,-6.32,15.93,-9.95
233220.574159,0.141,1.053,0.132,-8.76,15.93,-8.0
233220.584402,0.133,1.064,0.132,-10.62,15.47,-5.86
233220.594515,0.119,1.072,0.131,-11.81,15.08,-3.63
233220.604983,0.11,1.076,0.134,-12.7,14.74,-1.43
233220.618382,0.102,1.078,0.137,-13.12,14.22,0.76
233220.624004,0.097,1.073,0.138,-12.82,13.61,2.9
233220.634093,0.096,1.064,0.138,-11.26,13.12,4.52
233220.644401,0.098,1.056,0.139,-8.42,12.57,5.92
233220.654836,0.1,1.038,0.134,-4.49,12.02,7.05
233220.669503,0.104,1.012,0.122,-0.46,11.57,7.69
233220.675865,0.106,0.985,0.106,1.86,11.35,7.75
233220.684772,0.105,0.963,0.094,2.04,11.35,7.54
233220.694569,0.106,0.943,0.083,1.13,11.44,7.39
233220.705703,0.107,0.929,0.072,-0.27,11.84,7.2
233220.715698,0.109,0.916,0.065,-2.17,12.42,7.11
233220.729313,0.112,0.913,0.065,-4.09,13.03,7.26
233220.735301,0.115,0.914,0.065,-5.25,13.61,7.29
233220.744311,0.114,0.926,0.063,-5.86,14.1,7.51
233220.754802,0.109,0.936,0.063,-6.59,14.56,7.81
233220.765355,0.106,0.949,0.063,-6.87,14.65,7.57
233220.775272,0.102,0.962,0.063,-6.47,14.53,7.14
233220.789413,0.096,0.972,0.06,-5.92,14.56,6.93
233220.794800,0.089,0.979,0.061,-5.58,14.4,6.62
233220.804200,0.082,0.986,0.062,-5.31,14.13,6.41
233220.815364,0.072,0.989,0.06,-5.16,13.92,6.44
233220.825093,0.065,0.991,0.063,-5.25,13.73,6.5
233220.835606,0.062,0.991,0.07,-5.49,13.64,6.56
233220.849261,0.063,0.985,0.075,-5.98,13.31,6.74
233220.855348,0.063,0.978,0.082,-6.53,12.88,6.87
233220.864512,0.068,0.972,0.088,-7.02,12.45,6.93
233220.875467,0.069,0.97,0.094,-7.05,11.96,6.9
233220.885440,0.071,0.967,0.103,-6.5,11.41,6.84
233220.899023,0.073,0.964,0.109,-5.52,10.77,6.78
233220.905090,0.074,0.96,0.115,-4.55,10.16,6.62
233220.914600,0.076,0.961,0.119,-3.39,9.4,6.44
233220.926120,0.073,0.968,0.12,-2.01,8.48,6.38
233220.934846,0.075,0.975,0.122,-0.89,7.57,6.35
233220.944858,0.076,0.98,0.122,0.37,6.71,5.83
233220.955662,0.075,0.984,0.118,1.25,6.1,4.82
233220.965706,0.074,0.99,0.117,1.65,5.55,3.66
233220.979144,0.072,0.991,0.126,1.92,5.04,2.01
233220.984750,0.069,0.989,0.128,2.2,4.85,0.24
233220.994258,0.066,0.992,0.127,2.47,4.91,-1.37
233221.004404,0.065,0.989,0.133,2.41,5.22,-2.38
233221.015450,0.065,0.979,0.14,2.69,5.71,-2.9
233221.024889,0.065,0.97,0.144,2.96,6.2,-2.99
233221.035458,0.073,0.958,0.148,2.99,6.74,-2.66
