trial_index,gesture,t_start,t_end,accepted
1,Clockwise,502151.578000,502153.640000,1
2,Clockwise,502159.531000,502161.609000,1
3,Clockwise,502165.218000,502167.218000,1
4,Clockwise,502172.218000,502174.265000,1
5,Clockwise,502176.812000,502178.890000,1
6,Clockwise,502182.484000,502184.531000,1
7,Clockwise,502191.343000,502193.437000,1
8,Clockwise,502203.875000,502205.937000,1
9,Clockwise,502221.500000,502223.562000,1
10,Clockwise,502229.578000,502231.656000,1
11,Anti-clockwise,502239.968000,502242.031000,1
12,Anti-clockwise,502245.015000,502247.093000,1
13,Anti-clockwise,502249.375000,502251.390000,1
14,Anti-clockwise,502253.078000,502255.140000,1
15,Anti-clockwise,502256.984000,502259.031000,1
16,Anti-clockwise,502264.937000,502267.015000,1
17,Anti-clockwise,502270.015000,502272.109000,1
18,Anti-clockwise,502282.546000,502284.656000,1
19,Anti-clockwise,502287.265000,502289.359000,1
20,Anti-clockwise,502291.468000,502293.546000,1
21,Right,502309.453000,502311.531000,1
22,Right,502314.765000,502316.812000,1
23,Right,502319.828000,502321.921000,1
24,Right,502324.640000,502326.687000,1
25,Right,502329.218000,502331.296000,1
26,Right,502333.953000,502336.046000,1
27,Right,502338.687000,502340.765000,1
28,Right,502343.359000,502345.421000,1
29,Right,502348.250000,502350.312000,1
30,Right,502353.109000,502355.187000,1
31,Left,502363.781000,502365.875000,1
32,Left,502368.468000,502370.531000,1
33,Left,502373.187000,502375.250000,1
34,Left,502377.765000,502379.828000,1
35,Left,502382.437000,502384.515000,1
36,Left,502387.234000,502389.296000,1
37,Left,502392.000000,502394.062000,1
38,Left,502396.625000,502398.656000,1
39,Left,502401.265000,502403.343000,1
40,Left,502406.968000,502409.046000,1
41,Bye-Bye,502414.937000,502417.000000,1
42,Bye-Bye,502423.484000,502425.531000,1
43,Bye-Bye,502428.375000,502430.453000,1
44,Bye-Bye,502432.453000,502434.453000,1
45,Bye-Bye,502437.875000,502439.937000,1
46,Bye-Bye,502442.125000,502444.218000,1
47,Bye-Bye,502445.687000,502447.734000,1
48,Bye-Bye,502449.281000,502451.375000,1
49,Bye-Bye,502452.984000,502455.078000,1
50,Bye-Bye,502456.296000,502458.390000,1
51,One-Arm Boxing,502475.906000,502477.968000,1
52,One-Arm Boxing,502604.828000,502606.906000,1
53,One-Arm Boxing,502621.593000,502623.671000,1
54,One-Arm Boxing,502688.187000,502690.187000,1
55,One-Arm Boxing,502692.203000,502694.203000,1
56,One-Arm Boxing,502696.015000,502698.062000,1
57,One-Arm Boxing,502699.531000,502701.578000,1
58,One-Arm Boxing,503032.000000,503034.062000,1
59,One-Arm Boxing,503039.531000,503041.609000,1
60,One-Arm Boxing,503045.437000,503047.515000,1
61,Clapping,503056.546000,503058.609000,1
62,Clapping,503060.390000,503062.468000,1
63,Clapping,503064.171000,503066.234000,1
64,Clapping,503067.828000,503069.890000,1
65,Clapping,503071.500000,503073.562000,1
66,Clapping,503074.953000,503076.984000,1
67,Clapping,503078.609000,503080.671000,1
68,Clapping,503082.328000,503084.328000,1
69,Clapping,503086.218000,503088.312000,1
70,Clapping,503090.593000,503092.656000,1
71,Two-Arm Boxing,503135.671000,503137.718000,1
72,Two-Arm Boxing,503140.109000,503142.218000,1
73,Two-Arm Boxing,503144.000000,503146.000000,1
74,Two-Arm Boxing,503147.515000,503149.609000,1
75,Two-Arm Boxing,503150.953000,503153.015000,1
76,Two-Arm Boxing,503154.421000,503156.468000,1
77,Two-Arm Boxing,503157.671000,503159.671000,1
78,Two-Arm Boxing,503161.109000,503163.125000,1
79,Two-Arm Boxing,503164.781000,503166.828000,1
80,Two-Arm Boxing,503168.359000,503170.421000,1
81,T-Arm,503172.109000,503174.109000,0
81,T-Arm,503257.953000,503260.015000,1
82,T-Arm,503262.781000,503264.828000,1
83,T-Arm,503267.375000,503269.437000,1
84,T-Arm,503271.781000,503273.875000,1
