t_monotonic,left_distance_cm,left_status,right_distance_cm,right_status,sequence
506954.375000,101.0,Ok,115.0,Ok,0
506954.421000,94.0,Ok,99.0,Ok,1
506954.484000,90.0,Ok,95.0,Ok,2
506954.531000,97.0,Ok,93.0,Ok,3
506954.578000,88.0,Ok,93.0,Ok,4
506954.625000,92.0,Ok,95.0,Ok,5
506954.671000,81.0,Ok,93.0,Ok,6
506954.734000,84.0,Ok,86.0,Ok,7
506954.781000,86.0,Ok,84.0,Ok,8
506954.828000,82.0,Ok,91.0,Ok,9
506954.875000,84.0,Ok,88.0,Ok,10
506954.937000,91.0,Ok,92.0,Ok,11
506954.984000,84.0,Ok,90.0,Ok,12
506955.031000,85.0,Ok,98.0,Ok,13
506955.078000,90.0,Ok,112.0,Ok,14
506955.125000,93.0,Ok,95.0,Ok,15
506955.187000,89.0,Ok,101.0,Ok,16
506955.234000,92.0,Ok,99.0,Ok,17
506955.281000,102.0,Ok,98.0,Ok,18
506955.328000,102.0,Ok,106.0,Ok,19
506955.375000,100.0,Ok,105.0,Ok,20
506955.421000,101.0,Ok,100.0,Ok,21
506955.468000,100.0,Ok,96.0,Ok,22
506955.546000,96.0,Ok,86.0,Ok,23
506955.578000,96.0,Ok,94.0,Ok,24
506955.625000,88.0,Ok,86.0,Ok,25
506955.687000,106.0,Ok,84.0,Ok,26
506955.718000,67.0,Ok,90.0,Ok,27
506955.781000,74.0,Ok,83.0,Ok,28
506955.828000,77.0,Ok,76.0,Ok,29
506955.875000,67.0,Ok,76.0,Ok,30
506955.921000,61.0,Ok,80.0,Ok,31
506955.984000,63.0,Ok,105.0,Ok,32
506956.031000,46.0,Ok,87.0,Ok,33
506956.078000,48.0,Ok,97.0,Ok,34
506956.125000,53.0,Ok,82.0,Ok,35
506956.171000,58.0,Ok,117.0,Ok,36
506956.218000,58.0,Ok,81.0,Ok,37
506956.265000,71.0,Ok,99.0,Ok,38
506956.328000,70.0,Ok,92.0,Ok,39
506956.375000,75.0,Ok,87.0,Ok,40
506956.437000,88.0,Ok,101.0,Ok,41
506956.484000,77.0,Ok,95.0,Ok,42
506956.531000,98.0,Ok,90.0,Ok,43
506956.578000,107.0,Ok,88.0,Ok,44
506956.640000,106.0,Ok,92.0,Ok,45
506956.687000,107.0,Ok,91.0,Ok,46
506956.718000,103.0,Ok,90.0,Ok,47
506956.781000,108.0,Ok,87.0,Ok,48
506956.828000,104.0,Ok,87.0,Ok,49
506956.906000,105.0,Ok,89.0,Ok,50
506956.937000,112.0,Ok,92.0,Ok,51
506956.984000,105.0,Ok,85.0,Ok,52
506957.031000,106.0,Ok,85.0,Ok,53
506957.078000,101.0,Ok,78.0,Ok,54
506957.125000,100.0,Ok,94.0,Ok,55
506957.171000,97.0,Ok,86.0,Ok,56
506957.218000,97.0,Ok,79.0,Ok,57
506957.281000,92.0,Ok,80.0,Ok,58
506957.328000,87.0,Ok,80.0,Ok,59
506957.375000,94.0,Ok,79.0,Ok,60
506957.437000,98.0,Ok,88.0,Ok,61
506957.484000,95.0,Ok,85.0,Ok,62
506957.531000,97.0,Ok,90.0,Ok,63
506957.562000,95.0,Ok,84.0,Ok,64
506957.625000,104.0,Ok,89.0,Ok,65
506957.671000,98.0,Ok,91.0,Ok,66
506957.734000,70.0,Ok,87.0,Ok,67
506957.781000,99.0,Ok,86.0,Ok,68
506957.828000,94.0,Ok,93.0,Ok,69
506957.875000,96.0,Ok,92.0,Ok,70
506957.937000,99.0,Ok,84.0,Ok,71
506957.984000,99.0,Ok,86.0,Ok,72
506958.031000,94.0,Ok,89.0,Ok,73
506958.078000,92.0,Ok,91.0,Ok,74
506958.109000,91.0,Ok,91.0,Ok,75
506958.187000,98.0,Ok,90.0,Ok,76
506958.234000,98.0,Ok,92.0,Ok,77
506958.281000,100.0,Ok,90.0,Ok,78
506958.328000,94.0,Ok,91.0,Ok,79
506958.375000,96.0,Ok,97.0,Ok,80
506958.421000,95.0,Ok,92.0,Ok,81
506958.468000,94.0,Ok,96.0,Ok,82
506958.531000,84.0,Ok,91.0,Ok,83
506958.562000,91.0,Ok,88.0,Ok,84
506958.625000,98.0,Ok,87.0,Ok,85
506958.671000,92.0,Ok,89.0,Ok,86
506958.734000,97.0,Ok,88.0,Ok,87
506958.765000,94.0,Ok,86.0,Ok,88
506958.828000,92.0,Ok,90.0,Ok,89
506958.875000,90.0,Ok,88.0,Ok,90
506958.937000,96.0,Ok,90.0,Ok,91
506958.984000,94.0,Ok,88.0,Ok,92
506959.031000,99.0,Ok,90.0,Ok,93
506959.078000,95.0,Ok,94.0,Ok,94
506959.125000,97.0,Ok,88.0,Ok,95
506959.171000,96.0,Ok,85.0,Ok,96
506959.218000,93.0,Ok,83.0,Ok,97
506959.281000,91.0,Ok,76.0,Ok,98
506959.328000,95.0,Ok,71.0,Ok,99
506959.375000,94.0,Ok,65.0,Ok,100
506959.421000,92.0,Ok,60.0,Ok,101
506959.484000,89.0,Ok,51.0,Ok,102
506959.531000,98.0,Ok,58.0,Ok,103
506959.578000,98.0,Ok,56.0,Ok,104
506959.625000,92.0,Ok,59.0,Ok,105
506959.687000,97.0,Ok,59.0,Ok,106
506959.734000,97.0,Ok,52.0,Ok,107
506959.781000,102.0,Ok,48.0,Ok,108
506959.828000,101.0,Ok,50.0,Ok,109
506959.875000,101.0,Ok,53.0,Ok,110
506959.937000,102.0,Ok,57.0,Ok,111
506959.984000,96.0,Ok,53.0,Ok,112
506960.031000,96.0,Ok,48.0,Ok,113
506960.078000,104.0,Ok,51.0,Ok,114
506960.125000,101.0,Ok,58.0,Ok,115
506960.187000,104.0,Ok,54.0,Ok,116
506960.234000,102.0,Ok,55.0,Ok,117
