t_monotonic,frame_number,profile_json
1628862.338490,1,"[202740.0, 252684.0, 166887.0, 56370.0, 12094.0, 8167.0, 6080.0, 2765.0, 2507.0, 2521.0, 2729.0, 2276.0, 1668.0, 1916.0, 2526.0, 5248.0, 5360.0, 12327.0, 16914.0, 9624.0, 8489.0, 25644.0, 39594.0, 43155.0, 24511.0, 10699.0, 4788.0, 3736.0, 3736.0, 3186.0, 3200.0, 2779.0, 2338.0, 4132.0, 6844.0, 16722.0, 20067.0, 11167.0, 9182.0, 9935.0, 7182.0, 12918.0, 21967.0, 16427.0, 14286.0, 9874.0, 8194.0, 4078.0, 6937.0, 7792.0, 5965.0, 6768.0, 15256.0, 18545.0, 12018.0, 16716.0, 12428.0, 7360.0, 10470.0, 12991.0, 11501.0, 11483.0, 14366.0, 13155.0, 8845.0, 9946.0, 7978.0, 7406.0, 5683.0, 5662.0, 8518.0, 6711.0, 6373.0, 4357.0, 4676.0, 4864.0, 4016.0, 3913.0, 3503.0, 3685.0, 4787.0, 5331.0, 3859.0, 3722.0, 3864.0, 3823.0, 3265.0, 3534.0, 3966.0, 3001.0, 2898.0, 4275.0, 4132.0, 3675.0, 5663.0, 5937.0, 4749.0, 4999.0, 3905.0, 4094.0, 4853.0, 4421.0, 2637.0, 3066.0, 3342.0, 3404.0, 3807.0, 5167.0, 5125.0, 4294.0, 3416.0, 3095.0, 2913.0, 3120.0, 3308.0, 2901.0, 2582.0, 2616.0, 2858.0, 3441.0, 3173.0, 2267.0, 2012.0, 2056.0, 1859.0, 2063.0, 2232.0, 3714.0]"
1628862.438388,2,"[202597.0, 252703.0, 166664.0, 56578.0, 9472.0, 3349.0, 3693.0, 4172.0, 3576.0, 2617.0, 2586.0, 2360.0, 1742.0, 2663.0, 4437.0, 18989.0, 28137.0, 18967.0, 6676.0, 7447.0, 18561.0, 57084.0, 89324.0, 105701.0, 84276.0, 37184.0, 8885.0, 4025.0, 2941.0, 2250.0, 2529.0, 2839.0, 3635.0, 5809.0, 7722.0, 9617.0, 12480.0, 7090.0, 9033.0, 11496.0, 8049.0, 12417.0, 21795.0, 17600.0, 17702.0, 9318.0, 8322.0, 4250.0, 7438.0, 7898.0, 5652.0, 6298.0, 16611.0, 19638.0, 10631.0, 16039.0, 11777.0, 6210.0, 9075.0, 11975.0, 11635.0, 11333.0, 14416.0, 12715.0, 7517.0, 9114.0, 8062.0, 7376.0, 5548.0, 6693.0, 8391.0, 7790.0, 7176.0, 3810.0, 3796.0, 5000.0, 3991.0, 3752.0, 4587.0, 4341.0, 4428.0, 7195.0, 6014.0, 4261.0, 4508.0, 4034.0, 3742.0, 3867.0, 3896.0, 3437.0, 3343.0, 4203.0, 5168.0, 4213.0, 6152.0, 5974.0, 5107.0, 5350.0, 3718.0, 3465.0, 4271.0, 3677.0, 3065.0, 3579.0, 2982.0, 2952.0, 3307.0, 5258.0, 5343.0, 4310.0, 3362.0, 3234.0, 3045.0, 3280.0, 3154.0, 2611.0, 3323.0, 3390.0, 3466.0, 3715.0, 3633.0, 2488.0, 2076.0, 2185.0, 1885.0, 2202.0, 2223.0, 3781.0]"
1628862.538628,3,"[202606.0, 252404.0, 166493.0, 55099.0, 9989.0, 4095.0, 3758.0, 3821.0, 2527.0, 3077.0, 2968.0, 2664.0, 2318.0, 3131.0, 7377.0, 16050.0, 17663.0, 39743.0, 48784.0, 20704.0, 19863.0, 65291.0, 76632.0, 37653.0, 42713.0, 26039.0, 7549.0, 2885.0, 2670.0, 2419.0, 2463.0, 2265.0, 2759.0, 4268.0, 5654.0, 13208.0, 14516.0, 7882.0, 13032.0, 16413.0, 10170.0, 13285.0, 21857.0, 16936.0, 15859.0, 9911.0, 8606.0, 5383.0, 7665.0, 7792.0, 5854.0, 7394.0, 17124.0, 19858.0, 11065.0, 16360.0, 11859.0, 7135.0, 10274.0, 13249.0, 12966.0, 12403.0, 14456.0, 12983.0, 8170.0, 9212.0, 7856.0, 7340.0, 5563.0, 7648.0, 8517.0, 7013.0, 5562.0, 4119.0, 5095.0, 5148.0, 5067.0, 4067.0, 3904.0, 3779.0, 3330.0, 5545.0, 4818.0, 3817.0, 4098.0, 4289.0, 4466.0, 3754.0, 4321.0, 3656.0, 3533.0, 4538.0, 4558.0, 3974.0, 5684.0, 5986.0, 5272.0, 5039.0, 3773.0, 4052.0, 4946.0, 3978.0, 2760.0, 3097.0, 3147.0, 3426.0, 3381.0, 5068.0, 5510.0, 4553.0, 3153.0, 2771.0, 3277.0, 3400.0, 3552.0, 3086.0, 2692.0, 2942.0, 3147.0, 3555.0, 3327.0, 2564.0, 2770.0, 2073.0, 1714.0, 2114.0, 2284.0, 3339.0]"
1628862.638733,4,"[202581.0, 252632.0, 166663.0, 54924.0, 10065.0, 5933.0, 5611.0, 3710.0, 3766.0, 2592.0, 2082.0, 2552.0, 2782.0, 3043.0, 3639.0, 7346.0, 11006.0, 9153.0, 9755.0, 11113.0, 18408.0, 53902.0, 100354.0, 106601.0, 68114.0, 29445.0, 10817.0, 4665.0, 3822.0, 3791.0, 2699.0, 2329.0, 2795.0, 4326.0, 11730.0, 38328.0, 44833.0, 16837.0, 9269.0, 12002.0, 7746.0, 13465.0, 21948.0, 16773.0, 17207.0, 9432.0, 9315.0, 6186.0, 8872.0, 8072.0, 6153.0, 8944.0, 19310.0, 21275.0, 12376.0, 16369.0, 10974.0, 6215.0, 9395.0, 13026.0, 12702.0, 11600.0, 14295.0, 11767.0, 8062.0, 9909.0, 7628.0, 6676.0, 6128.0, 5884.0, 8349.0, 6453.0, 6066.0, 3639.0, 4195.0, 4223.0, 4428.0, 3780.0, 3685.0, 3943.0, 4067.0, 4345.0, 3731.0, 4358.0, 3878.0, 3888.0, 3922.0, 3941.0, 4029.0, 3853.0, 3563.0, 4652.0, 4738.0, 4167.0, 5954.0, 5855.0, 5210.0, 5272.0, 3608.0, 3763.0, 4854.0, 4013.0, 2715.0, 2801.0, 3279.0, 3469.0, 3742.0, 5019.0, 4979.0, 4396.0, 3097.0, 2745.0, 3019.0, 3620.0, 3319.0, 3451.0, 2661.0, 2737.0, 2702.0, 3537.0, 3162.0, 2385.0, 2399.0, 2209.0, 2240.0, 2125.0, 2700.0, 3433.0]"
1628862.738468,5,"[202253.0, 252256.0, 166730.0, 56042.0, 9089.0, 3561.0, 4828.0, 3398.0, 2698.0, 2596.0, 2486.0, 2654.0, 2938.0, 3351.0, 3462.0, 3800.0, 11629.0, 24432.0, 21311.0, 9192.0, 16912.0, 54896.0, 85027.0, 61240.0, 33528.0, 26857.0, 11714.0, 4040.0, 3150.0, 3234.0, 3178.0, 2601.0, 2645.0, 3066.0, 17806.0, 59233.0, 70836.0, 30194.0, 11897.0, 13369.0, 8656.0, 11947.0, 21206.0, 16770.0, 17453.0, 10141.0, 9384.0, 5543.0, 7095.0, 8181.0, 5141.0, 7367.0, 18838.0, 20120.0, 10488.0, 17234.0, 12270.0, 8028.0, 9844.0, 11872.0, 11863.0, 11159.0, 13840.0, 11897.0, 7762.0, 9444.0, 8567.0, 8308.0, 6416.0, 6124.0, 8073.0, 6769.0, 6495.0, 4199.0, 4295.0, 4038.0, 3297.0, 3582.0, 4426.0, 3973.0, 4452.0, 4430.0, 3981.0, 4812.0, 4784.0, 4639.0, 4572.0, 3906.0, 4062.0, 3329.0, 3021.0, 4507.0, 4179.0, 3663.0, 6521.0, 6574.0, 5640.0, 5736.0, 3974.0, 3795.0, 4183.0, 3445.0, 2838.0, 3950.0, 3078.0, 3690.0, 3083.0, 4564.0, 5060.0, 4191.0, 2741.0, 2901.0, 2614.0, 2885.0, 3470.0, 2858.0, 2217.0, 2629.0, 3300.0, 3700.0, 3457.0, 2593.0, 2266.0, 2070.0, 2111.0, 2223.0, 2543.0, 3747.0]"
1628862.838182,6,"[202294.0, 252199.0, 166633.0, 54838.0, 9354.0, 4645.0, 4672.0, 3199.0, 2576.0, 2885.0, 2701.0, 2572.0, 2349.0, 2450.0, 3386.0, 4836.0, 8734.0, 22863.0, 22168.0, 6575.0, 6608.0, 19715.0, 40149.0, 61329.0, 47459.0, 14751.0, 9582.0, 5008.0, 2770.0, 2200.0, 2347.0, 2646.0, 2236.0, 2390.0, 14089.0, 48099.0, 58212.0, 25903.0, 12123.0, 12335.0, 7274.0, 12434.0, 21419.0, 16196.0, 17577.0, 10398.0, 11174.0, 6750.0, 5319.0, 7430.0, 6544.0, 7366.0, 12988.0, 16306.0, 12654.0, 21011.0, 14055.0, 7392.0, 8907.0, 10814.0, 11451.0, 10870.0, 13643.0, 11990.0, 7595.0, 9482.0, 8289.0, 7866.0, 5925.0, 4942.0, 8391.0, 7642.0, 8009.0, 4613.0, 4256.0, 4691.0, 4080.0, 3336.0, 3756.0, 3667.0, 4376.0, 4749.0, 4488.0, 4434.0, 4455.0, 3806.0, 3374.0, 3725.0, 3499.0, 3603.0, 3271.0, 4187.0, 4502.0, 3792.0, 6361.0, 5862.0, 5011.0, 5626.0, 3919.0, 3984.0, 4513.0, 3832.0, 2921.0, 2758.0, 3132.0, 3286.0, 3382.0, 4879.0, 5041.0, 3893.0, 3053.0, 3281.0, 3374.0, 3184.0, 3052.0, 2564.0, 2577.0, 2723.0, 2853.0, 3259.0, 3033.0, 2731.0, 2152.0, 2051.0, 1947.0, 2216.0, 2352.0, 3644.0]"
1628862.938088,7,"[202282.0, 252352.0, 166525.0, 55665.0, 9503.0, 5113.0, 4144.0, 3151.0, 2369.0, 2330.0, 2428.0, 2047.0, 2044.0, 2241.0, 1892.0, 6476.0, 12463.0, 10437.0, 10605.0, 16525.0, 19725.0, 56648.0, 102750.0, 130888.0, 109876.0, 50652.0, 12138.0, 3689.0, 2727.0, 2689.0, 2841.0, 2313.0, 2099.0, 3360.0, 10737.0, 36866.0, 46117.0, 21842.0, 10033.0, 12781.0, 8396.0, 12714.0, 21485.0, 17060.0, 16478.0, 10489.0, 8650.0, 5920.0, 7004.0, 7543.0, 4989.0, 6419.0, 14769.0, 18159.0, 14944.0, 24088.0, 15590.0, 7082.0, 7752.0, 11981.0, 12807.0, 10764.0, 13693.0, 12686.0, 8958.0, 10407.0, 8980.0, 7672.0, 5692.0, 5954.0, 8469.0, 6481.0, 6055.0, 3652.0, 4511.0, 4485.0, 4067.0, 3613.0, 3646.0, 3846.0, 3990.0, 3988.0, 4713.0, 4104.0, 4407.0, 4103.0, 4093.0, 3922.0, 4256.0, 2915.0, 3558.0, 4608.0, 4332.0, 3470.0, 6764.0, 6992.0, 6206.0, 5842.0, 3811.0, 4193.0, 4176.0, 2967.0, 3234.0, 3341.0, 3123.0, 3995.0, 3401.0, 4723.0, 5297.0, 4306.0, 3585.0, 3554.0, 2792.0, 3243.0, 3396.0, 2605.0, 2899.0, 2704.0, 3363.0, 3311.0, 2976.0, 2796.0, 2197.0, 2109.0, 1943.0, 2204.0, 2699.0, 3660.0]"
1628863.038005,8,"[202539.0, 252095.0, 166606.0, 55956.0, 10479.0, 4480.0, 4927.0, 3602.0, 2687.0, 3004.0, 2944.0, 2203.0, 2289.0, 2727.0, 2700.0, 8418.0, 12956.0, 22691.0, 25525.0, 9615.0, 25859.0, 71076.0, 96293.0, 128983.0, 145746.0, 69368.0, 11961.0, 4472.0, 2827.0, 3105.0, 2832.0, 2940.0, 4137.0, 3349.0, 8752.0, 23132.0, 27209.0, 12227.0, 8156.0, 11650.0, 7500.0, 11526.0, 20308.0, 15573.0, 13013.0, 9246.0, 8629.0, 5456.0, 8108.0, 8316.0, 4426.0, 7781.0, 17302.0, 17936.0, 17055.0, 25371.0, 16066.0, 8283.0, 8398.0, 11351.0, 10952.0, 10452.0, 13972.0, 12651.0, 8170.0, 9166.0, 8099.0, 7514.0, 5875.0, 5518.0, 8122.0, 7200.0, 7125.0, 4564.0, 4152.0, 4268.0, 3699.0, 3607.0, 4269.0, 4279.0, 3772.0, 4659.0, 4395.0, 4204.0, 4829.0, 4339.0, 4283.0, 4311.0, 4362.0, 2764.0, 3022.0, 4185.0, 4423.0, 4062.0, 6241.0, 7189.0, 5198.0, 5352.0, 4023.0, 3869.0, 4458.0, 3345.0, 3078.0, 4240.0, 3383.0, 3610.0, 3386.0, 4941.0, 4983.0, 4319.0, 4046.0, 3612.0, 3187.0, 3436.0, 3862.0, 3095.0, 2924.0, 2914.0, 3284.0, 3232.0, 2891.0, 2427.0, 2182.0, 2166.0, 1920.0, 2161.0, 2557.0, 3778.0]"
1628863.138062,9,"[202581.0, 252544.0, 166642.0, 55773.0, 9467.0, 4239.0, 3902.0, 2473.0, 2236.0, 2536.0, 2385.0, 3057.0, 3278.0, 3096.0, 3496.0, 8411.0, 11626.0, 17120.0, 17497.0, 10441.0, 24244.0, 72966.0, 90954.0, 51014.0, 47187.0, 39672.0, 8947.0, 3363.0, 3019.0, 3064.0, 2908.0, 2672.0, 3440.0, 3559.0, 6659.0, 16705.0, 19169.0, 8304.0, 7921.0, 10619.0, 7498.0, 12065.0, 20379.0, 15576.0, 15381.0, 10346.0, 8752.0, 5555.0, 6648.0, 6902.0, 4423.0, 7612.0, 17279.0, 19959.0, 17075.0, 25546.0, 16025.0, 6592.0, 7683.0, 11253.0, 11224.0, 10561.0, 14490.0, 13472.0, 8966.0, 9697.0, 7808.0, 8531.0, 7307.0, 5612.0, 7954.0, 6557.0, 6051.0, 4537.0, 5555.0, 5354.0, 4197.0, 3571.0, 3783.0, 4097.0, 3932.0, 4756.0, 4627.0, 4172.0, 4011.0, 4065.0, 3666.0, 4015.0, 4521.0, 3718.0, 3392.0, 4266.0, 4267.0, 3851.0, 5801.0, 5664.0, 4616.0, 4884.0, 3619.0, 3869.0, 4416.0, 3349.0, 3127.0, 3936.0, 3360.0, 3275.0, 3540.0, 5038.0, 5205.0, 4531.0, 3888.0, 3752.0, 3334.0, 3022.0, 3778.0, 3023.0, 2771.0, 2817.0, 3476.0, 3761.0, 3066.0, 2718.0, 2109.0, 1893.0, 1969.0, 2139.0, 2410.0, 3627.0]"
1628863.238253,10,"[202455.0, 252332.0, 166622.0, 56710.0, 9581.0, 4569.0, 4322.0, 2954.0, 2918.0, 2969.0, 2954.0, 3522.0, 2712.0, 2349.0, 7809.0, 27027.0, 39333.0, 57363.0, 53375.0, 26730.0, 21589.0, 35862.0, 28875.0, 48721.0, 50423.0, 23341.0, 14461.0, 3919.0, 3382.0, 2855.0, 3002.0, 3737.0, 3563.0, 3585.0, 6620.0, 15068.0, 16133.0, 6676.0, 9053.0, 12096.0, 7620.0, 12153.0, 20852.0, 16443.0, 12797.0, 9960.0, 8028.0, 5864.0, 7273.0, 8189.0, 4963.0, 6122.0, 15989.0, 18161.0, 16020.0, 25238.0, 15497.0, 6183.0, 7076.0, 10431.0, 12012.0, 10918.0, 13294.0, 11475.0, 7189.0, 9100.0, 8612.0, 7916.0, 6095.0, 4821.0, 8481.0, 6408.0, 5296.0, 3553.0, 4366.0, 4331.0, 4206.0, 3844.0, 3779.0, 4402.0, 5061.0, 6002.0, 4757.0, 4071.0, 4518.0, 4543.0, 4702.0, 4431.0, 3904.0, 3397.0, 3379.0, 4889.0, 4838.0, 4515.0, 6279.0, 5500.0, 4386.0, 5177.0, 3681.0, 3450.0, 4692.0, 3578.0, 3705.0, 4329.0, 3573.0, 3668.0, 3240.0, 4461.0, 4556.0, 3954.0, 3412.0, 3057.0, 3235.0, 3093.0, 3214.0, 2610.0, 2902.0, 2802.0, 3049.0, 3254.0, 3121.0, 2329.0, 2190.0, 1974.0, 1974.0, 2357.0, 2507.0, 3903.0]"
