t_monotonic,event,trial_index,gesture,note
1637778.751584,trial_start,1,Clapping,
1637780.843750,trial_end,1,Clapping,
1637791.988680,trial_accept,1,Clapping,
1637797.694537,trial_start,2,Making Fist and Open,
1637799.767560,trial_end,2,Making Fist and Open,
1637805.319311,trial_accept,2,Making Fist and Open,
1637809.925586,trial_start,3,Making Fist and Open,
1637812.010019,trial_end,3,Making Fist and Open,
1637813.481876,trial_accept,3,Making Fist and Open,
1637816.805760,trial_start,4,Making Fist and Open,
1637818.883152,trial_end,4,Making Fist and Open,
1637822.994144,trial_accept,4,Making Fist and Open,
1637826.939017,trial_start,5,Palm Up-Down,
1637829.018219,trial_end,5,Palm Up-Down,
1637830.806222,trial_accept,5,Palm Up-Down,
1637835.227011,trial_start,6,Clapping,
1637837.293294,trial_end,6,Clapping,
1637838.684240,trial_accept,6,Clapping,
1637842.529851,trial_start,7,Clapping,
1637844.600194,trial_end,7,Clapping,
1637845.960396,trial_accept,7,Clapping,
1637850.352667,trial_start,8,Palm Up-Down,
1637852.430449,trial_end,8,Palm Up-Down,
1637853.897190,trial_accept,8,Palm Up-Down,
1637857.128101,trial_start,9,Clapping,
1637859.200541,trial_end,9,Clapping,
1637860.377384,trial_accept,9,Clapping,
