dataset_name,source_session,collector,gesture,trial_index,t_start,t_end,duration_s,imu_sample_count,imu_mean_rate_hz,mmwave_frame_count,mmwave_mean_rate_hz,uwb_round_count,uwb_mean_rate_hz,npz_path,session_dir
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Pull,1,325205.000000,325207.000000,2.000000,201,100.50,20,10.00,11,5.50,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Pull_001.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Pull,2,325211.734000,325213.781000,2.047000,206,100.64,20,9.77,10,4.89,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Pull_002.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Pull,3,325217.656000,325219.718000,2.062000,207,100.39,21,10.18,10,4.85,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Pull_003.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Pull,4,325223.359000,325225.359000,2.000000,201,100.50,20,10.00,10,5.00,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Pull_004.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Pull,5,325234.578000,325236.625000,2.047000,205,100.15,21,10.26,11,5.37,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Pull_005.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Pull,6,325243.296000,325245.375000,2.079000,209,100.53,21,10.10,10,4.81,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Pull_006.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Pull,7,325253.406000,325255.500000,2.094000,211,100.76,21,10.03,10,4.78,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Pull_007.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Pull,8,325260.781000,325262.828000,2.047000,205,100.15,21,10.26,11,5.37,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Pull_008.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Push,10,325350.796000,325352.875000,2.079000,209,100.53,21,10.10,11,5.29,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Push_010.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_full_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Push,11,325357.265000,325359.328000,2.063000,207,100.34,21,10.18,10,4.85,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_full_jianhao_v1\trials\eric_Push_011.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
