dataset_name,source_session,collector,gesture,trial_index,t_start,t_end,duration_s,imu_sample_count,imu_mean_rate_hz,mmwave_frame_count,mmwave_mean_rate_hz,uwb_round_count,uwb_mean_rate_hz,npz_path,session_dir
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,1,573449.921000,573451.968000,2.047000,44,21.49,21,10.26,41,20.03,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_001.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,2,573455.312000,573457.406000,2.094000,45,21.49,21,10.03,42,20.06,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_002.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,3,573467.968000,573470.062000,2.094000,44,21.01,21,10.03,42,20.06,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_003.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,4,573472.484000,573474.578000,2.094000,44,21.01,21,10.03,42,20.06,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_004.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,5,573488.640000,573490.734000,2.094000,45,21.49,21,10.03,43,20.53,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_005.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,6,573503.125000,573505.203000,2.078000,45,21.66,21,10.11,42,20.21,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_006.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,7,573518.734000,573520.812000,2.078000,44,21.17,20,9.62,42,20.21,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_007.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,8,573525.750000,573527.765000,2.015000,43,21.34,19,9.43,41,20.35,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_008.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,9,573532.015000,573534.078000,2.063000,44,21.33,21,10.18,41,19.87,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_009.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Push,10,573541.453000,573543.546000,2.093000,45,21.50,21,10.03,42,20.07,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Push_010.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Pull,11,573553.281000,573555.375000,2.094000,45,21.49,21,10.03,42,20.06,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Pull_011.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Pull,12,573561.578000,573563.671000,2.093000,45,21.50,21,10.03,42,20.07,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Pull_012.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Pull,13,573566.093000,573568.171000,2.078000,44,21.17,21,10.11,42,20.21,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Pull_013.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Pull,14,573570.687000,573572.765000,2.078000,44,21.17,21,10.11,42,20.21,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Pull_014.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Pull,15,573575.046000,573577.109000,2.063000,43,20.84,20,9.69,42,20.36,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Pull_015.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Pull,16,573579.406000,573581.484000,2.078000,44,21.17,21,10.11,41,19.73,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Pull_016.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Pull,17,573584.343000,573586.437000,2.094000,45,21.49,21,10.03,43,20.53,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Pull_017.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
gesture_jianhao_eric_joycelyn_evelyn_v2,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314,eric,Pull,18,573588.640000,573590.718000,2.078000,43,20.69,20,9.62,41,19.73,/Users/evelynwang/Downloads/cosmos-final-project-main/datasets/gesture_jianhao_eric_joycelyn_evelyn_v2/trials/eric_Pull_018.npz,/Users/evelynwang/Downloads/cosmos-final-project-main/data/raw/session_20260727_101314
