dataset_name,source_session,collector,gesture,trial_index,t_start,t_end,duration_s,imu_sample_count,imu_mean_rate_hz,mmwave_frame_count,mmwave_mean_rate_hz,uwb_round_count,uwb_mean_rate_hz,npz_path,session_dir
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,1,327719.687000,327721.734000,2.047000,205,100.15,20,9.77,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Pull_001.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,2,327726.750000,327728.828000,2.078000,210,101.06,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Pull_002.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,3,327732.125000,327734.203000,2.078000,209,100.58,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Pull_003.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,4,327736.750000,327738.750000,2.000000,200,100.00,20,10.00,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Pull_004.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,5,327741.640000,327743.734000,2.094000,209,99.81,21,10.03,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Pull_005.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,6,327746.687000,327748.687000,2.000000,202,101.00,21,10.50,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Pull_006.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,7,327751.015000,327753.093000,2.078000,208,100.10,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Pull_007.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,8,327756.078000,327758.187000,2.109000,212,100.52,22,10.43,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Pull_008.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,9,327763.875000,327765.968000,2.093000,209,99.86,21,10.03,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Push_009.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,10,327804.187000,327806.250000,2.063000,206,99.85,21,10.18,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_jianhao_v1\trials\jianhao_Push_010.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
