dataset_name,source_session,collector,gesture,trial_index,t_start,t_end,duration_s,imu_sample_count,imu_mean_rate_hz,mmwave_frame_count,mmwave_mean_rate_hz,uwb_round_count,uwb_mean_rate_hz,npz_path,session_dir
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,1,506958.546000,506960.625000,2.079000,44,21.16,20,9.62,42,20.20,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_001.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,2,506968.046000,506970.109000,2.063000,43,20.84,19,9.21,41,19.87,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_002.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,3,506974.265000,506976.265000,2.000000,43,21.50,20,10.00,40,20.00,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_003.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,4,506986.156000,506988.250000,2.094000,44,21.01,21,10.03,41,19.58,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_004.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,5,506991.671000,506993.765000,2.094000,44,21.01,21,10.03,42,20.06,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_005.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,6,507000.234000,507002.296000,2.062000,44,21.34,21,10.18,42,20.37,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_006.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,7,507005.281000,507007.359000,2.078000,45,21.66,21,10.11,42,20.21,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_007.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,8,507010.234000,507012.343000,2.109000,45,21.34,21,9.96,42,19.91,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_008.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,9,507014.984000,507017.046000,2.062000,44,21.34,21,10.18,42,20.37,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_009.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
gesture_new3_plus_eric_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516,evelyn,Push,10,507020.031000,507022.062000,2.031000,43,21.17,21,10.34,41,20.19,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_new3_plus_eric_v1\trials\evelyn_Push_010.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260726_154516
